306.9 5.348e-28
334.1 4.27e-28
366.3 4.051e-28
399.7 4.751e-28
436.5 5.565e-28
479.7 4.958e-28
522.6 3.647e-28
571.8 3.622e-28
624.9 4.454e-28
681.1 4.576e-28
742.2 3.992e-28
816.8 3.79e-28
890.2 4.268e-28
974.2 4.748e-28
1066.0 4.31e-28
1165.0 4.001e-28
1274.0 4.654e-28
1386.0 5.615e-28
1513.0 6.724e-28
1655.0 7.338e-28
1808.0 6.813e-28
1987.0 6.302e-28
2174.0 7.042e-28
2375.0 9.474e-28
2589.0 1.449e-27
2824.0 2.268e-27
3103.0 2.792e-27
3390.0 2.731e-27
3684.0 2.978e-27
4032.0 3.689e-27
4414.0 3.868e-27
4833.0 3.667e-27
5295.0 3.682e-27
5787.0 3.697e-27
6307.0 3.522e-27
6868.0 4.171e-27
7537.0 5.889e-27
8237.0 7.974e-27
8975.0 9.359e-27
9860.0 8.239e-27
10770.0 6.181e-27
11730.0 5.79e-27
12880.0 8.014e-27
14050.0 1.127e-26
15380.0 1.446e-26
16810.0 1.869e-26
18390.0 2.102e-26
20040.0 2.043e-26
21980.0 1.999e-26
23970.0 2.435e-26
26190.0 3.919e-26
28660.0 5.764e-26
31260.0 5.633e-26
34090.0 5.024e-26
37250.0 4.912e-26
40890.0 5.769e-26
44770.0 8.319e-26
48870.0 1.216e-25
53200.0 1.458e-25
58210.0 1.547e-25
63850.0 2.004e-25
