# Fermi-LAT bounds on gamma-lines from the galactic center, 5.2 years data and pass8  (arXiv:1506.00013)
# Einasto and ROI = R16 
# J factor = 8.48 x 10^22 GeV^2/cm^5
#  DM mass [GeV]                    sigmav_gammagamma [cm^3 s^-1]
32.57830562603401     4.80244213804114e-29
34.04982486830453     6.108024681372944e-29
35.067127606319005     7.227828395341675e-29
35.58228976351083     8.552929308197275e-29
37.77098044545284     7.227828395341675e-29
38.91756941839425     6.408974029700358e-29
41.29059020632931     7.403749172824495e-29
41.89717965275404     8.761102204862049e-29
43.14558981724678     1.0878111971134774e-28
43.77773255006687     1.3185737895557756e-28
45.76043959409733     1.5603121425767082e-28
47.83108879697774     1.8913086206379991e-28
51.52909988359305     1.677038685593246e-28
54.688082691291534     1.5982891545122687e-28
56.32199230679738     1.8913086206379991e-28
58.00471805372072     2.2380482833165484e-28
59.770165798652     1.8913086206379991e-28
62.50626141922946     1.677038685593246e-28
62.52565982810362     1.3835414253118285e-28
64.43620562363668     1.0878111971134774e-28
70.42689904981954     1.256656871052211e-28
69.36419478215853     1.5603121425767082e-28
72.46073820244254     2.7128161706480907e-28
75.81892923873168     1.7178567478522473e-28
76.97753842850452     1.4172159496513125e-28
79.32967853865142     1.1142878345048767e-28
82.97402113337114     8.974341898333343e-29
88.03340896130135     1.036730311256015e-28
93.41578793707995     1.0878111971134774e-28
94.78078247076573     1.3506670426795798e-28
97.597393928281     1.7596682959627484e-28
99.00428800932924     2.4640238581783827e-28
100.4431498262927     3.2101654417586266e-28
103.42000751151531     4.388313542765031e-28
104.91897486743876     5.856309502822068e-28
106.44379677007807     7.629683584354745e-28
114.62891901945667     8.60450415353762e-28
121.67038246585474     7.629683584354745e-28
129.1343734399623     7.098636449448184e-28
133.0699044466639     5.856309502822068e-28
135.10338099034715     4.831401246856374e-28
139.22622499373904     3.891153191723494e-28
141.3702268934468     2.986729025087601e-28
147.87039846208597     2.348319476955191e-28
156.8929648468971     2.648356838116911e-28
163.96689380694227     3.5342956164785423e-28
166.36278339578348     4.388313542765031e-28
173.87042761671398     5.717157500658352e-28
179.03041102027032     7.629683584354745e-28
189.9174239755447     9.703874467358745e-28
195.5915652128128     1.1482916831344666e-27
201.41960662573092     1.425761874770439e-27
204.37861028907633     1.6871513625162684e-27
213.77589330284766     1.326524894588399e-27
220.29952471246133     1.0683673977268743e-27
226.87258865373497     1.2950052840020667e-27
237.14771834682134     1.532422747467294e-27
240.78097456993052     1.2341950834153746e-27
248.1286988819339     9.940060642170762e-28
255.72048438567435     7.629683584354745e-28
271.31318543090384     8.813932349359215e-28
283.55704687085495     1.1482916831344666e-27
292.00619553577945     1.425761874770439e-27
300.7187671902573     1.728215560943607e-27
314.3506055969375     1.996462221644682e-27
338.62802737184825     1.8575029147439807e-27
354.184330720739     1.496010789839621e-27
365.00685359794585     1.176240377351437e-27
393.074489375854     1.326524894588399e-27
429.68564648881147     1.3918842903655515e-27
449.25078042571266     1.425761874770439e-27
