# Fermi-LAT bounds on gamma-lines from the galactic center, 5.2 years data and pass8  (arXiv:1506.00013)
# NFW contracted and ROI = R3 
# J factor = 13.9 x 10^22 GeV^2/cm^5
#  DM mass [GeV]                    sigmav_gammagamma [cm^3 s^-1]
66.70512944795576     4.729029644741698e-29
70.8017711504235     5.289373746757358e-29
75.14321858450815     5.593972985533948e-29
76.24373051469188     4.5984766095874627e-29
78.51461136527234     3.67578028476769e-29
79.66809629929344     3.107429009610139e-29
84.53412505185335     2.8571105949632587e-29
92.41484498803652     2.8571105949632587e-29
98.11257608703204     3.67578028476769e-29
101.11239387206285     4.729029644741698e-29
102.66274768427233     5.916113184867571e-29
108.94801833374751     5.916113184867571e-29
110.62850558113993     7.827390868337584e-29
114.0315948829104     1.126345770343272e-28
119.28233579560839     1.49022649193501e-28
130.3553722631931     1.1912086597271276e-28
134.23794092352026     9.521895354084163e-29
138.2236668898642     7.196856730011587e-29
142.327735042996     5.439541694826241e-29
146.70593747758247     7.827390868337584e-29
148.98228160606283     1.0952510490160426e-28
155.7298270054496     9.259026978902946e-29
158.0248421666783     8.049614383201128e-29
165.29384867677183     1.0356131786397872e-28
170.34005995307456     1.29557335031425e-28
175.4135522602171     1.0356131786397872e-28
177.9745396342411     8.278146934037064e-29
183.22577499264597     5.593972985533948e-29
191.75787621894645     1.007023287293362e-28
197.65661970881678     1.4490862144986554e-28
203.54372189619895     1.1583232862547176e-28
212.74319249665623     9.259026978902946e-29
222.5291959505003     1.1912086597271276e-28
232.75483727462486     1.49022649193501e-28
239.86054685711503     1.8643039396419647e-28
250.6900923415867     1.4490862144986554e-28
262.00858466178     1.126345770343272e-28
262.18610248112043     1.7141252532913282e-28
270.22691352582746     2.3322825075076743e-28
274.4074646181472     3.1733630225572528e-28
278.6401092493459     4.198559420434889e-28
300.12467048710823     4.198559420434889e-28
304.4789066842945     3.1733630225572528e-28
313.5051863998175     2.3322825075076743e-28
327.64494424878353     1.7627901206922407e-28
352.84429214907385     1.576044185442927e-28
353.0833535881861     2.398497166413956e-28
364.0433097998493     4.082650932480532e-28
375.1401505682375     4.966479328838018e-28
398.14312376570797     5.252484042324357e-28
435.22083457727285     4.966479328838018e-28
468.6092573510587     3.969942298627198e-28
