# Er drde_Xe drde_Ar drde_Ge
1.616757575757576149e+01 0.000000000000000000e+00 4.607276311304833399e-19 0.000000000000000000e+00
1.657151515151515397e+01 0.000000000000000000e+00 3.916950566836837263e-19 0.000000000000000000e+00
1.697545454545455001e+01 0.000000000000000000e+00 3.324350811023741613e-19 0.000000000000000000e+00
1.737939393939394250e+01 0.000000000000000000e+00 2.817257520298725829e-19 0.000000000000000000e+00
1.778333333333333854e+01 0.000000000000000000e+00 2.384862871124251877e-19 0.000000000000000000e+00
1.818727272727273103e+01 0.000000000000000000e+00 2.017633758074442750e-19 0.000000000000000000e+00
1.859121212121212352e+01 0.000000000000000000e+00 1.707308203209693467e-19 0.000000000000000000e+00
1.899515151515151956e+01 0.000000000000000000e+00 1.446570472440110558e-19 0.000000000000000000e+00
1.939909090909091205e+01 0.000000000000000000e+00 1.229001751488784659e-19 0.000000000000000000e+00
1.980303030303030809e+01 0.000000000000000000e+00 1.048956819757027779e-19 0.000000000000000000e+00
2.020696969696970058e+01 0.000000000000000000e+00 9.015073369588555060e-20 0.000000000000000000e+00
2.061090909090909662e+01 0.000000000000000000e+00 7.824233864204025169e-20 0.000000000000000000e+00
2.101484848484848911e+01 0.000000000000000000e+00 6.878660510041442350e-20 0.000000000000000000e+00
2.141878787878788160e+01 0.000000000000000000e+00 6.140551724237025179e-20 0.000000000000000000e+00
2.182272727272727764e+01 0.000000000000000000e+00 5.619574535728735346e-20 0.000000000000000000e+00
2.222666666666667012e+01 0.000000000000000000e+00 5.103261252123987984e-20 0.000000000000000000e+00
2.263060606060606617e+01 0.000000000000000000e+00 5.308130692715089832e-20 0.000000000000000000e+00
2.303454545454545865e+01 0.000000000000000000e+00 3.481248112280711556e-20 0.000000000000000000e+00
2.343848484848485114e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.384242424242424718e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.424636363636363967e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.465030303030303571e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.505424242424242820e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.545818181818182424e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.586212121212121673e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.626606060606060922e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.667000000000000526e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.707393939393939775e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.747787878787879379e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.788181818181818628e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.828575757575758232e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.868969696969697480e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.909363636363636729e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.949757575757576333e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.990151515151515582e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.030545454545455186e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.070939393939394435e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.111333333333333684e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.151727272727273288e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.192121212121212537e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.232515151515151786e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.272909090909091390e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.313303030303030283e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.353696969696969887e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.394090909090909491e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.434484848484848385e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.474878787878787989e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.515272727272727593e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.555666666666667197e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.596060606060606091e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.636454545454545695e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.676848484848485299e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.717242424242424192e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.757636363636363797e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.798030303030303401e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.838424242424243005e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.878818181818181898e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.919212121212121502e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.959606060606061106e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
