# Top fraction efficency of Xenon1T vs S2
# Please cite: arXiv:1907.11485v2
#
#              S2              Efficency
90.00000000000000    0.8062387082204159
93.00862089401643    0.8076937346754423
93.871148862274    0.8152664859981936
95.58134865383467    0.8187387082204158
97.32290435640563    0.8211692637759713
99.24556857664416    0.8230211156278232
100.74999602800452    0.8262329211833788
102.74033511151904    0.8282294489611566
104.61285383456087    0.8281137082204159
106.68056822399899    0.8250176434056009
108.34543924013224    0.8227730997548073
110.43892892144638    0.8219794489611565
111.10820820092157    0.8110419489611564
112.6255049429016    0.8020720415537491
114.78215137771052    0.8016316621499551
115.40820985699467    0.7896183378500454
117.65309429781557    0.7899192637759713
119.25780888789085    0.7893405600722676
119.62000033469137    0.7779979674796751
122.11482645567793    0.7779318299135375
124.02100315488549    0.7738891711833787
125.146767876363    0.7710535230352306
127.23609752886952    0.7705905600722677
128.419938050918    0.7626540521357598
130.73289019375935    0.7605211156278232
132.91687589562542    0.7546954983438726
134.52792967016964    0.7511461156278232
136.7741260965023    0.7497572267389343
139.26734613860296    0.748136856368564
141.8056288328356    0.7479053748870825
142.6646240349597    0.7382988934056011
145.26525335297737    0.7365627822944899
147.91278669779413    0.7365627822944899
150.7703423914658    0.7373564330881406
153.12360396142765    0.7340454211833787
154.2813714314118    0.730486393405601
157.0930679352664    0.7310072267389343
159.95609674034387    0.7312387082204157
162.87123056940843    0.7317016711833787
165.84043101792872    0.7292711156278231
168.86299573685147    0.7291553748870824
171.94084375120724    0.7284609304426379
175.07415660948817    0.7296183378500454
178.26497242222098    0.7296183378500454
181.5137368200754    0.7301970415537491
184.82128904142414    0.7319331526648601
188.1888984177644    0.7342479674796749
191.61821602692746    0.7356368563685638
195.11020205628088    0.7365627822944898
198.66595992326845    0.7371414859981935
202.2856024037368    0.740035004516712
205.97124050970024    0.7428127822944898
209.72450608855553    0.7444331526648602
213.54626150478563    0.7458220415537491
217.43765978123218    0.747210930442638
221.39997000171942    0.7485998193315269
225.43438220660133    0.7502201897018972
229.5424666467271    0.7514933378500454
233.724935922626    0.7538081526648602
237.98388317663887    0.7555442637759713
242.32016262020412    0.757859078590786
246.7360679881986    0.7589007452574528
251.23187700646622    0.7610998193315268
255.8097206640438    0.7630674119241194
260.47074380370475    0.7654979674796749
265.2171145814796    0.7671183378500454
270.0494854962531    0.7696646341463416
274.9700912357053    0.7718637082204157
279.98048284359226    0.7738313008130083
285.08230094390257    0.7755674119241194
290.2765583959473    0.7782294489611564
295.56552325120026    0.7807757452574526
300.9519465001812    0.7814701897018972
306.4356298796433    0.7836692637759712
312.01937355666195    0.7856368563685638
317.7048619082894    0.7876044489611564
323.4940221897531    0.7894563008130082
329.38867149824455    0.7913081526648602
335.39020002486274    0.7939701897018971
341.50123239327115    0.7964007452574526
347.72416340784594    0.7980211156278232
354.060009019278    0.800335930442638
360.5121980468622    0.8013775971093047
367.08063718601545    0.804271115627823
373.76976797079743    0.8057757452574528
380.5798428516622    0.8085535230352304
387.5144361748614    0.8107525971093046
394.5760114906869    0.8121414859981935
401.7657218107155    0.8142248193315268
409.0865311098317    0.8161924119241193
416.5404540049978    0.8185072267389342
424.13019404959806    0.820822041553749
431.8583238154456    0.8230211156278231
439.7268702291612    0.82568315266486
447.73918899905186    0.8278822267389341
455.89791447681915    0.8296183378500452
464.2053086506874    0.8313544489611564
472.66375924328435    0.8334377822944897
481.27655240314607    0.8352896341463416
490.04606422047146    0.8373729674796748
498.9750292297069    0.8398035230352304
508.06726157172454    0.8416553748870823
517.3254053780227    0.8432757452574526
526.7512987498252    0.845822041553749
536.3488144491382    0.8484840785907859
546.1216938526186    0.8506831526648602
556.0734021818587    0.8521877822944897
566.2055574808159    0.8545025971093045
576.5224603652262    0.8567016711833786
587.0274818624948    0.8587850045167119
597.7235127618497    0.8612155600722675
608.6162253611943    0.8621414859981935
619.7044940846987    0.8654979674796748
630.9967797920956    0.8672340785907859
642.4951252705217    0.8687387082204157
654.202109992846    0.8709377822944897
666.1227110554553    0.8729053748870823
678.2605243947048    0.8748729674796749
690.6185689720082    0.8775350045167118
703.2027357323927    0.8795025971093045
716.0175040204789    0.8805442637759712
729.0634884387978    0.8832063008130082
742.3476780056376    0.885521115627823
755.8744312583232    0.8874887082204156
769.6478378374088    0.8893405600722675
783.6722209291883    0.8911924119241192
797.9525154238951    0.8928127822944896
812.4930294407551    0.89443315266486
827.2990671856865    0.8957063008130082
842.3722425237953    0.8985998193315268
857.717520487095    0.9029979674796749
873.347880773124    0.9041553748870823
889.263076283846    0.9053127822944896
905.4691183684115    0.9060072267389341
921.9682032379192    0.9079748193315267
938.7675021668107    0.9101738934056007
955.8750693097658    0.9112155600722673
973.295056728514    0.9119100045167119
991.0248726991621    0.9165396341463414
1009.0817759205302    0.9190859304426378
1027.4711762174445    0.9198961156278229
1046.1947547167895    0.9211692637759712
1065.2592910689798    0.9225581526648601
1084.6702523626639    0.9244100045167118
1104.4341658520038    0.9266090785907859
1124.5597290939072    0.9281137082204156
1145.052290100223    0.9295025971093045
1165.916960723589    0.9314701897018971
1187.1615497525618    0.9335535230352303
1208.7957093022378    0.934595189701897
1230.822444046962    0.9363313008130081
1253.2519710055105    0.9374887082204155
1276.0885007634529    0.9393405600722674
1299.3408591796472    0.9413081526648599
1323.0193109141774    0.9423498193315266
1347.1280442686202    0.9438544489611562
1371.6760992710258    0.9453590785907859
1396.6717979591367    0.9467479674796748
1422.1229867977572    0.9481368563685637
1448.037309797601    0.949757226738934
1474.4235167289498    0.9514933378500452
