# Trigger efficency of Xenon10 vs n_e
# Please cite: arXiv:1206.2644v1
#
#               n_e                efficency
0.2962962962962962    0.0000000000000000000
0.32889202214930247    0.0017213114754106584
0.3549321506699479    0.0018510928961759099
0.37793700437517086    0.0021106557377059687
0.40397713289581627    0.004057377049181188
0.433052536231884    0.0058743169398915995
0.456057389937107    0.009733606557377872
0.4912033429040197    0.027242827868853237
0.5202787462400875    0.043703961206523534
0.5483262312763952    0.059598594968245155
0.577164855072464    0.0749195506982403
0.6072112653055024    0.09257139604475739
0.6321618215066995    0.11041857354280582
0.649056603773585    0.121311475409837
0.6589008712362896    0.13990588949605431
0.6788718553459119    0.17357045277127314
0.6973743847415914    0.20620120999219416
0.715876914137271    0.2392398516783769
0.7366306056877223    0.27685792349726857
0.7579481416917329    0.3155652322404374
0.7819573762646979    0.3544672131147546
0.8004599056603774    0.3862822014051528
0.8189624350560569    0.41789324746292
0.8366808517910855    0.44761612021857955
0.855967493847416    0.47911885245901686
0.8837212879409353    0.5102178961748638
0.9101534727919058    0.5414822404371589
0.9348719920700026    0.569515027322405
0.9594450710965272    0.6067423724954466
0.9815203718895269    0.6399863387978146
1.001344510527755    0.6732289227166282
1.021168649165983    0.7056557377049184
1.0388870659010117    0.7339221311475412
1.0629226483456387    0.7631489071038253
1.0859275020508614    0.7823565573770495
1.1150029053869293    0.8057172131147543
1.1457303202761824    0.8302800546448088
1.1745769835510402    0.8568395334174024
1.2010818537833508    0.8797672716627634
1.2276569193783609    0.905547586520947
1.256282933415368    0.9298987656128028
1.2841688884331421    0.9397126593806924
1.31324429176921    0.9470871877439504
1.3423196951052778    0.9567620917902682
1.3775978089964453    0.9632677026411658
1.40326920370281    0.9672648704290461
1.4295459051134811    0.9707632573293432
1.458180772035366    0.9742292805100183
1.4846614369701943    0.9785860655737706
1.5114856781514905    0.9859321493624773
1.5405610814875583    0.9915642076502733
1.5687448728465956    0.9967213114754099
1.5987118881596936    0.9971448087431694
1.6277872914957614    1.00000000000000
1.6568626948318292    1.00000000000000
1.685938098167897    1.00000000000000
1.715013501503965    1.00000000000000
1.7440889048400328    1.00000000000000
1.7731643081761006    1.00000000000000
1.8022397115121684    1.00000000000000
1.8313151148482363    1.00000000000000
1.8603905181843041    1.00000000000000
1.889465921520372    1.00000000000000
1.9185413248564398    1.00000000000000
1.9476167281925076    1.00000000000000
1.9766921315285755    1.00000000000000
2.0047509123703753    1.00000000000000
2.034842938200711    1.00000000000000
2.063918341536779    1.00000000000000
2.092993744872847    1.00000000000000
2.1220691482089147    1.00000000000000
2.151144551544982    1.00000000000000
2.18021995488105    1.00000000000000
2.2092953582171178    1.00000000000000
2.2383707615531856    1.00000000000000
2.2674461648892534    1.00000000000000
2.2965215682253213    1.00000000000000
2.325596971561389    1.00000000000000
2.354672374897457    1.00000000000000
2.383747778233525    1.00000000000000
2.4128231815695926    1.00000000000000
2.4418985849056605    1.00000000000000
2.4709739882417283    1.00000000000000
2.500049391577796    1.00000000000000
2.529124794913864    1.00000000000000
2.558200198249932    1.00000000000000
2.5872756015859997    1.00000000000000
2.6163510049220675    1.00000000000000
2.6454264082581354    1.00000000000000
2.6745018115942027    1.00000000000000
2.7035772149302706    1.00000000000000
2.7326526182663384    1.00000000000000
2.7617280216024063    1.00000000000000
2.790803424938474    1.00000000000000
2.819878828274542    1.00000000000000
2.84895423161061    1.00000000000000
2.8780296349466776    1.00000000000000
2.9071050382827455    1.00000000000000
2.9361804416188133    1.00000000000000
2.965255844954881    1.00000000000000
2.994771784705132    1.00000000000000
3.023406651627017    1.00000000000000
3.0524820549630847    1.00000000000000
3.0815574582991525    1.00000000000000
3.1106328616352203    1.00000000000000
3.139708264971288    1.00000000000000
3.168783668307356    1.00000000000000
3.197859071643424    1.00000000000000
3.2269344749794913    1.00000000000000
3.256009878315559    1.00000000000000
3.285085281651627    1.00000000000000
3.314160684987695    1.00000000000000
3.3432360883237626    1.00000000000000
3.3723114916598305    1.00000000000000
3.4013868949958983    1.00000000000000
3.430462298331966    1.00000000000000
3.4595377016680344    1.00000000000000
3.4904430254937844    1.00000000000000
3.517688508340169    1.00000000000000
3.5467639116762375    1.00000000000000
3.575839315012305    1.00000000000000
3.6044741819341897    1.00000000000000
3.6339901216844406    1.00000000000000
3.663065525020509    1.00000000000000
3.6921409283565763    1.00000000000000
3.7212163316926445    1.00000000000000
3.750291735028712    1.00000000000000
3.77936713836478    1.00000000000000
3.8084425417008476    1.00000000000000
3.837517945036916    1.00000000000000
3.8665933483729833    1.00000000000000
3.8956687517090516    1.00000000000000
3.924744155045119    1.00000000000000
3.9516168763102733    1.00000000000000
3.9768244120864096    1.00000000000000
4.0000000000000000    1.00000000000000
